source	target	weight
CSH2	SPAG11A	1
BPIFA4P	MRGPRX2	1
ALPPL2	C10orf91	1
ALPPL2	CD300C	1
C10orf91	CD300C	1
CPSF4L	MRGPRX2	1
BPIFA4P	CPSF4L	1
CLC	DEFB128	1
DLX5	MIR508	1
DUX4L2	DUX4L3	1
DUX4L2	DUX4L5	1
DUX4L3	DUX4L5	1
DUX4L2	DUX4L6	1
DUX4L3	DUX4L6	1
DUX4L5	DUX4L6	1
FAM197Y2	FAM197Y5	1
FAM41AY1	FAM41AY2	1
CCL18	FAM99B	1
CYP4B1	GAGE7	1
GOT1L1	MIR137	1
H2AFB1	H2AFB3	1
ALPPL2	HLA-DQA2	1
C10orf91	HLA-DQA2	1
CD300C	HLA-DQA2	1
EDDM3B	KIF2B	1
CSH2	KRTAP4-4	1
KRTAP4-4	SPAG11A	1
KRTAP4-11	KRTAP4-8	1
KRTAP21-2	LCE1F	1
CLC	LINC00112	1
DEFB128	LINC00112	1
GPR33	LINC00424	1
CSH2	LOC100287534	1
LOC100287534	SPAG11A	1
KRTAP4-4	LOC100287534	1
LINC00563	LOC100287704	1
KRT85	LOC286442	1
KCNMB2-IT1	LOC645355	1
CSH1	MAGEA10-MAGEA5	1
MIR1270-1	MIR1270-2	1
LINC00254	MIR138-2	1
GZMK	MIR147B	1
FLI1-AS1	MIR181C	1
FLI1-AS1	MIR183	1
MIR181C	MIR183	1
HOXB-AS5	MIR211	1
MIR1224	MIR3074	1
CSH2	MIR33B	1
MIR33B	SPAG11A	1
KRTAP4-4	MIR33B	1
LOC100287534	MIR33B	1
KCNAB1-AS2	MIR3609	1
FLI1-AS1	MIR3649	1
MIR181C	MIR3649	1
MIR183	MIR3649	1
H2AFB1	MIR3941	1
H2AFB3	MIR3941	1
MIR4284	RNU6-19	1
MIR4315-1	MIR4315-2	1
KRTAP21-2	MIR432	1
LCE1F	MIR432	1
CCL18	MIR4451	1
FAM99B	MIR4451	1
LRRC2-AS1	MIR449B	1
CAMP	MIR4760	1
CLC	MIR519A1	1
DEFB128	MIR519A1	1
LINC00112	MIR519A1	1
MIR508	MIR520E	1
DLX5	MIR520E	1
CLC	MIR522	1
DEFB128	MIR522	1
LINC00112	MIR522	1
MIR519A1	MIR522	1
FABP9	MIR548A1	1
FAM187B	MIR548F4	1
MIR548J	SERPINA9	1
LCN9	MIR5708	1
CDRT15P2	MIR592	1
ALPPL2	MIR663B	1
C10orf91	MIR663B	1
CD300C	MIR663B	1
HLA-DQA2	MIR663B	1
MIR412	MIR889	1
CAMP	MIR941-2	1
MIR4760	MIR941-2	1
KLK9	MMP20	1
ALPPL2	MOGAT2	1
C10orf91	MOGAT2	1
CD300C	MOGAT2	1
HLA-DQA2	MOGAT2	1
MIR663B	MOGAT2	1
MIR3169	OR10V1	1
ALPPL2	OR4E2	1
C10orf91	OR4E2	1
CD300C	OR4E2	1
HLA-DQA2	OR4E2	1
MIR663B	OR4E2	1
MOGAT2	OR4E2	1
ALPPL2	OR4K13	1
C10orf91	OR4K13	1
CD300C	OR4K13	1
HLA-DQA2	OR4K13	1
MIR663B	OR4K13	1
MOGAT2	OR4K13	1
OR4E2	OR4K13	1
HOXB-AS5	OR51G2	1
MIR211	OR51G2	1
LRRC2-AS1	OR52E4	1
MIR449B	OR52E4	1
ALPPL2	OR6Y1	1
C10orf91	OR6Y1	1
CD300C	OR6Y1	1
HLA-DQA2	OR6Y1	1
MIR663B	OR6Y1	1
MOGAT2	OR6Y1	1
OR4E2	OR6Y1	1
OR4K13	OR6Y1	1
MIR627	OR9Q2	1
ASCL4	OSTN	1
ALPPL2	PCGEM1	1
C10orf91	PCGEM1	1
CD300C	PCGEM1	1
HLA-DQA2	PCGEM1	1
MIR663B	PCGEM1	1
MOGAT2	PCGEM1	1
OR4E2	PCGEM1	1
OR4K13	PCGEM1	1
OR6Y1	PCGEM1	1
MIR4784	PRSS16	1
MIR181B2	RAB9BP1	1
RBMY1D	RBMY1E	1
RBMY1D	RBMY1F	1
RBMY1E	RBMY1F	1
REG1B	SERPINA9	1
MIR548J	REG1B	1
LOC254099	SMIM2-IT1	1
C5orf58	TNFRSF18	1
DEFB4A	TTTY22	1
TTTY13	TTTY5	1
TTTY13	TTTY8	1
TTTY5	TTTY8	1
TTTY13	TTTY8B	1
TTTY5	TTTY8B	1
TTTY8	TTTY8B	1
SNORD92	VTRNA1-3	1
AA06	ALPPL2	1
AA06	C10orf91	1
AA06	CD300C	1
AA06	HLA-DQA2	1
AA06	MIR663B	1
AA06	MOGAT2	1
AA06	OR4E2	1
AA06	OR4K13	1
AA06	OR6Y1	1
AA06	PCGEM1	1
BHLHA9	MIR105-2	1
BPIFA3	DEFB4A	1
BPIFA3	TTTY22	1
BSPH1	MSMB	1
CCL21	PITX1	1
CDA	LINC00563	1
CDA	LOC100287704	1
CSAG1	LINC00111	1
CSN1S2BP	DEFA4	1
DEFB118	MIR3202-1	1
DUSP21	GPR50	1
EMR3	KRTAP12-1	1
FGF4	FTMT	1
DEFB110	GIMD1	1
GSTA5	SNORD37	1
HBBP1	MIR3121	1
HES3	KRTAP4-11	1
HES3	KRTAP4-8	1
APOC4-APOC2	KRT74	1
KRT9	MARCO	1
ACTN1-AS1	KRTAP10-4	1
KRTAP11-1	MB	1
KRTAP12-1	KRTAP12-2	1
EMR3	KRTAP12-2	1
GPR33	KRTAP2-2	1
KRTAP2-2	LINC00424	1
ALPPL2	KRTAP3-1	1
C10orf91	KRTAP3-1	1
CD300C	KRTAP3-1	1
HLA-DQA2	KRTAP3-1	1
KRTAP3-1	MIR663B	1
KRTAP3-1	MOGAT2	1
KRTAP3-1	OR4E2	1
KRTAP3-1	OR4K13	1
KRTAP3-1	OR6Y1	1
KRTAP3-1	PCGEM1	1
AA06	KRTAP3-1	1
LINC00207	MIR569	1
KRT85	LINC00332	1
LINC00332	LOC286442	1
DEFB4A	LINC00359	1
LINC00359	TTTY22	1
BPIFA3	LINC00359	1
CLC	LOC150185	1
DEFB128	LOC150185	1
LINC00112	LOC150185	1
LOC150185	MIR519A1	1
LOC150185	MIR522	1
GDF3	LOC158376	1
LOC283403	MIR5194	1
ASCL4	LOC653486	1
LOC653486	OSTN	1
DEFB135	LRRC3-AS1	1
MIR1197	MIR4269	1
KRTAP5-3	MIR1301	1
KRT85	MIR190A	1
LOC286442	MIR190A	1
LINC00332	MIR190A	1
BATF	MIR3192	1
FCN2	MIR320A	1
MIR329-1	MIR4269	1
MIR1197	MIR329-1	1
MIR329-2	MIR4269	1
MIR1197	MIR329-2	1
MIR329-1	MIR329-2	1
MIR335	UGT1A1	1
ATP6V0CP3	MIR3660	1
ACTN1-AS1	MIR3666	1
KRTAP10-4	MIR3666	1
ALPPL2	MIR378C	1
C10orf91	MIR378C	1
CD300C	MIR378C	1
HLA-DQA2	MIR378C	1
MIR378C	MIR663B	1
MIR378C	MOGAT2	1
MIR378C	OR4E2	1
MIR378C	OR4K13	1
MIR378C	OR6Y1	1
MIR378C	PCGEM1	1
AA06	MIR378C	1
KRTAP3-1	MIR378C	1
MIR191	MIR425	1
MIR4321	OR6C75	1
LOC286238	MIR433	1
MIR4427	PLA2G2E	1
MIR4472-1	PLA2G2E	1
MIR4427	MIR4472-1	1
MIR1270-1	MIR4490	1
MIR1270-2	MIR4490	1
CSHL1	MIR4636	1
MIR4789	TTTY13	1
MIR4789	TTTY5	1
MIR4789	TTTY8	1
MIR4789	TTTY8B	1
LOC728012	MIR5091	1
MB	MIR514A1	1
KRTAP11-1	MIR514A1	1
GDF3	MIR553	1
LOC158376	MIR553	1
MIR4738	MIR613	1
MIR5685	MIR641	1
HOXB-AS5	MIR642B	1
MIR211	MIR642B	1
MIR642B	OR51G2	1
MIR216A	NAALADL2-AS3	1
MIR4526	NCR3	1
ALPPL2	NR0B2	1
C10orf91	NR0B2	1
CD300C	NR0B2	1
HLA-DQA2	NR0B2	1
MIR663B	NR0B2	1
MOGAT2	NR0B2	1
NR0B2	OR4E2	1
NR0B2	OR4K13	1
NR0B2	OR6Y1	1
NR0B2	PCGEM1	1
AA06	NR0B2	1
KRTAP3-1	NR0B2	1
MIR378C	NR0B2	1
ASCL4	OACYLP	1
OACYLP	OSTN	1
LOC653486	OACYLP	1
KRTAP1-4	OR1A2	1
ALPPL2	OR2Y1	1
C10orf91	OR2Y1	1
CD300C	OR2Y1	1
HLA-DQA2	OR2Y1	1
MIR663B	OR2Y1	1
MOGAT2	OR2Y1	1
OR2Y1	OR4E2	1
OR2Y1	OR4K13	1
OR2Y1	OR6Y1	1
OR2Y1	PCGEM1	1
AA06	OR2Y1	1
KRTAP3-1	OR2Y1	1
MIR378C	OR2Y1	1
NR0B2	OR2Y1	1
ALPPL2	OR3A3	1
C10orf91	OR3A3	1
CD300C	OR3A3	1
HLA-DQA2	OR3A3	1
MIR663B	OR3A3	1
MOGAT2	OR3A3	1
OR3A3	OR4E2	1
OR3A3	OR4K13	1
OR3A3	OR6Y1	1
OR3A3	PCGEM1	1
AA06	OR3A3	1
KRTAP3-1	OR3A3	1
MIR378C	OR3A3	1
NR0B2	OR3A3	1
OR2Y1	OR3A3	1
APOBEC1	OR4D6	1
CSH2	OR6N2	1
OR6N2	SPAG11A	1
KRTAP4-4	OR6N2	1
LOC100287534	OR6N2	1
MIR33B	OR6N2	1
MIR943	OR8J3	1
MIR16-1	P2RX2	1
MIR891B	PAGE5	1
PRAMEF13	UGT1A1	1
MIR335	PRAMEF13	1
MIR2467	PRG1	1
MIR16-1	PRG3	1
P2RX2	PRG3	1
CSAG4	RBMY1B	1
RBMY1D	RBMY1J	1
RBMY1E	RBMY1J	1
RBMY1F	RBMY1J	1
ALPPL2	SERPINA5	1
C10orf91	SERPINA5	1
CD300C	SERPINA5	1
HLA-DQA2	SERPINA5	1
MIR663B	SERPINA5	1
MOGAT2	SERPINA5	1
OR4E2	SERPINA5	1
OR4K13	SERPINA5	1
OR6Y1	SERPINA5	1
PCGEM1	SERPINA5	1
AA06	SERPINA5	1
KRTAP3-1	SERPINA5	1
MIR378C	SERPINA5	1
NR0B2	SERPINA5	1
OR2Y1	SERPINA5	1
OR3A3	SERPINA5	1
MB	SERPINB12	1
KRTAP11-1	SERPINB12	1
MIR514A1	SERPINB12	1
MIR3907	SNORD114-20	1
IFNB1	SNORD114-24	1
H2AFB2	SNORD114-26	1
MIR3976	SNORD116-29	1
DEFB110	SNORD36C	1
GIMD1	SNORD36C	1
C5orf58	SPATA3	1
SPATA3	TNFRSF18	1
SPO11	TTTY13	1
SPO11	TTTY5	1
SPO11	TTTY8	1
SPO11	TTTY8B	1
MIR4789	SPO11	1
HOXB-AS5	SULT6B1	1
MIR211	SULT6B1	1
OR51G2	SULT6B1	1
MIR642B	SULT6B1	1
AMTN	TAS2R38	1
TBL1Y	TTTY13	1
TBL1Y	TTTY5	1
TBL1Y	TTTY8	1
TBL1Y	TTTY8B	1
MIR4789	TBL1Y	1
SPO11	TBL1Y	1
SIX3	THEG5	1
MIR150	TRPC2	1
MIR943	XAGE2	1
OR8J3	XAGE2	1
CLC	XAGE2B	1
DEFB128	XAGE2B	1
LINC00112	XAGE2B	1
MIR519A1	XAGE2B	1
MIR522	XAGE2B	1
LOC150185	XAGE2B	1
MB	SPDYE4	1
KRTAP11-1	SPDYE4	1
MIR514A1	SPDYE4	1
SERPINB12	SPDYE4	1
LOC440925	MIR23C	0.982873374670191
DEFB110	SIGLEC6	0.982700979133573
GIMD1	SIGLEC6	0.982700979133573
SIGLEC6	SNORD36C	0.982700979133573
C2CD4B	RNF223	0.97177075591158
KRTAP9-9	OR4N4	0.970324937010524
C2orf53	TH	0.967871749723867
LILRB5	TNNT2	0.960737302926596
GPR101	MIR3907	0.95770120484865
GPR101	SNORD114-20	0.95770120484865
CCL20	OR13C3	0.95730754935753
HS3ST6	MIR18A	0.956094614757908
HNF1B	MB	0.954500071032773
HNF1B	KRTAP11-1	0.954500071032773
HNF1B	MIR514A1	0.954500071032773
HNF1B	SERPINB12	0.954500071032773
HNF1B	SPDYE4	0.954500071032773
MIR711	OR6C65	0.953088917939395
HTN3	SLC17A9	0.946141256462882
GJA10	KLK12	0.939429795995488
DEFB110	MYF6	0.935956948758666
GIMD1	MYF6	0.935956948758665
MYF6	SNORD36C	0.935956948758665
MYF6	SIGLEC6	0.91973691703652
KLK8	KLK9	0.934845645411249
KLK8	MMP20	0.934845645411249
CSH2	S100Z	0.93285251994226
S100Z	SPAG11A	0.93285251994226
KRTAP4-4	S100Z	0.93285251994226
LOC100287534	S100Z	0.93285251994226
MIR33B	S100Z	0.93285251994226
OR6N2	S100Z	0.93285251994226
AGXT2	TNNT2	0.930971332553049
AGXT2	LILRB5	0.894374005276671
CLC	PAX2	0.930503026732088
DEFB128	PAX2	0.930503026732088
LINC00112	PAX2	0.930503026732088
MIR519A1	PAX2	0.930503026732088
MIR522	PAX2	0.930503026732088
LOC150185	PAX2	0.930503026732088
PAX2	XAGE2B	0.930503026732088
C2orf53	UTS2R	0.930051943792185
TH	UTS2R	0.90013006831245
LINC00619	MIR146B	0.925280436555828
GH1	GH2	0.924500286302427
DEFB4A	OR1L3	0.92285105172537
OR1L3	TTTY22	0.92285105172537
BPIFA3	OR1L3	0.92285105172537
LINC00359	OR1L3	0.92285105172537
EXOC3L4	LINC00651	0.922084704630198
GTSF1L	MIR4762	0.921838513914764
TTTY11	TTTY13	0.921048246561587
TTTY11	TTTY5	0.921048246561587
TTTY11	TTTY8	0.921048246561587
TTTY11	TTTY8B	0.921048246561587
MIR4789	TTTY11	0.921048246561587
SPO11	TTTY11	0.921048246561587
TBL1Y	TTTY11	0.921048246561587
OR56B4	RTP3	0.914771864501935
FAM9B	OR10W1	0.914766315039294
LINC00659	MIR658	0.914496445991989
CD300LF	FAM9B	0.912552411432503
CD300LF	OR10W1	0.834699006437998
C10orf120	CLC	0.911344773126954
C10orf120	DEFB128	0.911344773126954
C10orf120	LINC00112	0.911344773126954
C10orf120	MIR519A1	0.911344773126954
C10orf120	MIR522	0.911344773126954
C10orf120	LOC150185	0.911344773126954
C10orf120	XAGE2B	0.911344773126954
C10orf120	PAX2	0.847942264890975
HOXC6	SERPINB4	0.855596329817758
MIR3907	SMEK3P	0.908936550587988
SMEK3P	SNORD114-20	0.908936550587988
