gene	deg_total	group
MIR137	1	AC
MIR216A	5	AC
SERPINA9	30	AC
ACTN1-AS1	7	AC
AHSP	4	AC
ASCL4	6	AC
ATP6V0CP3	4	AC
C10orf99	0	AC
C16orf78	4	AC
C19orf33	2	AC
CAMP	5	AC
FAM41AY1	1	AC
FAM41AY2	1	AC
FGF22	3	AC
GNLY	1	AC
GOT1L1	1	AC
H2AFB2	3	AC
HOXB-AS3	5	AC
HOXB-AS5	14	AC
HOXB8	3	AC
HSFY1P1	7	AC
IL9	2	AC
KLK12	2	AC
KRTAP2-1	0	AC
LCN9	1	AC
LINC00239	1	AC
LINC00499	4	AC
MAGEA5	1	AC
MIR100	3	AC
MIR105-2	3	AC
MIR1207	1	AC
MIR1270-1	2	AC
MIR1270-2	2	AC
MIR18A	8	AC
MIR211	14	AC
MIR3132	1	AC
MIR378D2	2	AC
MIR4315-1	5	AC
MIR4315-2	5	AC
MIR4760	5	AC
MIR502	14	AC
MIR5196	3	AC
MIR548I3	1	AC
MIR548J	30	AC
MIR5685	2	AC
MIR5708	1	AC
MIR627	2	AC
MIR941-2	5	AC
MSMB	11	AC
OR10G3	2	AC
OR14I1	4	AC
OR51G2	14	AC
OR9Q2	2	AC
OSTN	6	AC
PAGE4	0	AC
REG1B	30	AC
RTP3	3	AC
SCGB1D2	1	AC
SNORA36C	0	AC
SNORD58A	1	AC
UGT2B17	2	AC
ZCCHC13	1	AC
BHLHA9	3	AC
BSPH1	11	AC
GDF3	12	AC
GH1	2	AC
GSC	1	AC
HRASLS2	0	AC
HTN3	5	AC
KRTAP10-4	7	AC
KRTAP4-12	2	AC
LOC158376	12	AC
LOC653486	6	AC
MIR3155A	1	AC
MIR3193	4	AC
MIR3660	4	AC
MIR3666	7	AC
MIR4317	0	AC
MIR4490	2	AC
MIR454	2	AC
MIR553	12	AC
MIR632	1	AC
MIR635	1	AC
MIR641	2	AC
MIR642B	14	AC
MIR661	0	AC
MIR940	0	AC
NAALADL2-AS3	5	AC
NKX2-6	1	AC
OACYLP	6	AC
OR3A1	3	AC
PADI4	1	AC
SLC25A3P1	1	AC
SNORD114-26	3	AC
SNORD121A	8	AC
SNORD71	1	AC
SULT6B1	14	AC
SOCS2-AS1	1	AC
LOC440925	0	AC
HOXC8	0	AC
C2CD4B	2	AC
OR1F2P	6	AC
MYL4	1	AC
HS3ST6	8	AC
C22orf42	1	AC
SLC17A9	5	AC
CEACAM16	1	AC
CTAG2	0	AC
GJA10	2	AC
LCN15	2	AC
BDKRB1	8	AC
OR2V2	8	AC
TMEM114	4	AC
HOXC13	2	AC
GH2	2	AC
TCP10	4	AC
TM4SF5	2	AC
CTXN3	1	AC
OR56B4	3	AC
MS4A6E	2	AC
LOC643733	0	AC
MLNR	1	AC
OR5B3	8	AC
GLYATL3	0	AC
TEX28	0	AC
OR52N1	1	AC
KRTAP10-5	7	AC
LINC00443	0	AC
OR2C3	3	AC
GALNTL5	2	AC
MAGEB5	30	AC
KRTAP10-7	7	AC
OLIG3	3	AC
GPRC5D	3	AC
SIGLECL1	0	AC
ASB9	0	AC
OR5D13	11	AC
MIR5684	1	AC
SPINK1	8	AC
KRT79	2	AC
CAPN11	4	AC
MNX1	2	AC
CD1B	1	AC
MIR2277	1	AC
MGC27382	30	AC
REG3G	2	AC
HS3ST4	7	AC
USP17L19	3	AC
NCR2	3	AC
TRIM40	3	AC
C1orf68	4	AC
BANF2	4	AC
RAET1L	8	AC
SMR3B	1	AC
CCDC179	1	AC
KIF12	0	AC
OTOL1	4	AC
LOC154872	30	AC
RFPL4B	1	AC
DPYD-AS1	1	AC
KRTAP10-2	1	AC
OR2G2	0	AC
HOXA10-HOXA9	0	AC
SHH	4	AC
OR51B4	0	AC
SNORA60	0	AC
OR5A2	3	AC
IL1F10	14	AC
NARR	1	AC
LINC00457	0	AC
LACRT	3	AC
OR56A3	14	AC
MIR218-1	0	AC
CT47B1	0	AC
LYZL1	6	AC
CIDEA	1	AC
HOXD12	3	AC
MIR4720	2	AC
KRTAP2-4	14	AC
CCL8	30	AC
GLT6D1	14	AC
MIR548AA2	1	AC
MIR933	0	AC
POU1F1	5	AC
LGALS13	0	AC
DMRTA2	1	AC
BTG4	2	AC
CRISP1	0	AC
KRTAP10-3	7	AC
COX7B2	4	AC
PAX4	4	AC
GNGT2	2	AC
CABP2	1	AC
OR1F1	1	AC
SPANXA2	3	AC
CASP12	3	AC
ACTRT2	3	AC
CELA3B	3	AC
TPSAB1	0	AC
PDE6H	8	AC
FXYD4	1	AC
MRGPRG	0	AC
ESM1	4	AC
MIR591	0	AC
OR10G2	14	AC
SNORD114-13	1	AC
LOC646268	3	AC
MIR3125	1	AC
STMND1	4	AC
OR5AR1	3	AC
MIR563	8	AC
GKN2	14	AC
LINC00159	0	AC
SPINK14	5	AC
KRTAP10-1	0	AC
MBD3L4	6	AC
MBD3L5	6	AC
SBK2	3	AC
MIR450A1	0	AC
SNORD116-1	3	AC
CHODL-AS1	2	AC
HBG1	0	AC
MIR4657	2	AC
MYOD1	1	AC
OPN1MW	2	AC
MIR423	1	AC
TMEM174	8	AC
MIR4777	8	AC
HOXA9	0	AC
MS4A12	0	AC
ITLN2	8	AC
OR10C1	1	AC
SYNPR-AS1	30	AC
DEFB121	1	AC
TIFAB	2	AC
OR1S1	12	AC
CCL23	1	AC
SLAMF1	5	AC
C1orf64	6	AC
GUCA2A	14	AC
IFNA21	8	AC
PNLIPRP3	2	AC
ARHGEF38-IT1	5	AC
TEX13A	3	AC
DCD	3	AC
LYZL2	1	AC
TRIML2	2	AC
MIR1247	1	AC
GPR141	30	AC
UGT1A5	2	AC
MIR4761	2	AC
C9orf92	1	AC
MIR4524B	1	AC
LINC00029	11	AC
SPANXN1	1	AC
MIR612	1	AC
MIR221	3	AC
CGB8	8	AC
WFDC10A	2	AC
MIR4305	30	AC
MIR9-1	0	AC
SNORD91B	7	AC
CALML3	1	AC
LOC643441	2	AC
NKX6-3	2	AC
ASGR2	6	AC
GSTA3	30	AC
MIR4691	0	AC
MIR4295	12	AC
MIR130B	3	AC
MBD3L2	6	AC
POU4F3	0	AC
IL22RA1	4	AC
SUPT20HL2	3	AC
UGT1A9	4	AC
C6orf222	14	AC
AMN	1	AC
SIT1	2	AC
STOML3	8	AC
RBMXL2	1	AC
TUBA4B	10	AC
SDR42E1	3	AC
ATXN3L	3	AC
GTSF1	1	AC
FEZF2	2	AC
LOC344887	8	AC
SSTR4	2	AC
GATA6	0	AC
PPBP	2	AC
HS3ST2	0	AC
CLEC4F	14	AC
HNF4A	12	AC
HBA2	1	AC
NUP210P1	1	AC
HBA1	3	AC
PIWIL1	3	AC
HOXB7	5	AC
OR4K1	2	AC
OR7C1	0	AC
KRTAP5-11	4	AC
OR56B1	6	AC
MIR1307	4	AC
ADTRP	1	AC
DLX2	14	AC
PSORS1C2	14	AC
SERPINB3	14	AC
FOXQ1	1	AC
LOC339822	2	AC
LY96	3	AC
OR2G6	8	AC
BOD1L2	0	AC
C19orf59	6	AC
PLA2G2D	11	AC
OR8H1	4	AC
SLC17A7	0	AC
TNNT3	0	AC
FRMD1	2	AC
KISS1	2	AC
GALP	2	AC
INSL5	2	AC
CRH	1	AC
SEMA3G	2	AC
GPIHBP1	1	AC
LOC286135	3	AC
LOC100507362	5	AC
DNAJB8-AS1	2	AC
UPK3A	0	AC
C7orf34	3	AC
KRT72	2	AC
LOC388948	0	AC
CLEC1B	0	AC
FAM83F	1	AC
CARD17	1	AC
DKFZp434L192	1	AC
OR52N2	24	AC
GDF2	2	AC
PRSS1	12	AC
OR9G1	28	AC
OR9G9	28	AC
MAS1L	4	AC
LOC340073	1	AC
TBC1D21	1	AC
DEFB125	13	AC
KRT83	4	AC
LOC339568	2	AC
VN1R10P	7	AC
OR2W1	30	AC
SLC17A2	0	AC
AWAT1	1	AC
SCGB1D4	0	AC
KRTAP4-7	5	AC
FHL5	0	AC
AKR1C4	1	AC
P2RY10	4	AC
TSPAN16	4	AC
OR6C76	1	AC
PRDM9	5	AC
PRAMEF21	6	AC
RTP2	1	AC
ACSM2B	12	AC
OR5B17	0	AC
SLC6A18	0	AC
VSTM1	0	AC
OR1D4	8	AC
OR51D1	30	AC
OR9A4	0	AC
LOC201651	4	AC
POU3F3	1	AC
HBD	0	AC
GUCY2EP	2	AC
LOC284661	2	AC
LOC442497	0	AC
SMCR9	0	AC
RNASE12	0	AC
CXorf61	6	AC
TRAT1	1	AC
WFDC13	1	AC
LOC643037	0	AC
CRYGB	8	AC
MAGEB4	5	AC
OR6B2	2	AC
SERPINA11	2	AC
OR51T1	3	AC
KRT75	8	AC
MIR4482-1	2	AC
KRT16P1	3	AC
BPIFC	0	AC
HOXD9	0	AC
SNORA17	0	AC
FAM154A	1	AC
CIB3	0	AC
MMP26	5	AC
KRT39	4	AC
PSORS1C3	1	AC
AFM	8	AC
LCE2A	11	AC
GM140	0	AC
C17orf82	0	AC
LOC100128787	0	AC
C7orf66	3	AC
CFC1B	0	AC
SNORA35	3	AC
SLC22A25	30	AC
USP17L12	2	AC
USP17L21	2	AC
DNAJB3	1	AC
WT1-AS	4	AC
TLX1	5	AC
EDN2	4	AC
TECTB	0	AC
AOAH-IT1	1	AC
OR10H2	0	AC
PTTG2	1	AC
LINC00469	1	AC
KRT71	8	AC
SNORD70	2	AC
KRTAP1-1	0	AC
OR4D11	5	AC
TLX1NB	4	AC
DEFB132	2	AC
OR6P1	8	AC
PRAC	12	AC
OR9G4	3	AC
THBD	2	AC
MIR138-1	0	AC
MIR3115	0	AC
TDO2	0	AC
NTF3	2	AC
PI3	1	AC
MIR3616	5	AC
NTF4	1	AC
SATB2-AS1	4	AC
TSGA10IP	1	AC
C9orf106	5	AC
LOC146481	1	AC
FAM153B	2	AC
MIR3940	8	AC
MIR626	8	AC
IFNA6	3	AC
OTOP2	0	AC
ADCYAP1	0	AC
NPVF	1	AC
LCN8	14	AC
LOC149086	0	AC
OR8B8	1	AC
FOXD3	1	AC
LELP1	5	AC
IFNL1	4	AC
LINC00841	2	AC
OR7G3	0	AC
OR5K4	6	AC
PRAMEF12	1	AC
MIR4763	1	AC
OCSTAMP	0	AC
VGLL1	12	AC
LCE3E	1	AC
CCL11	2	AC
LINC00474	8	AC
MIR1289-2	1	AC
SNAR-F	8	AC
SERPINA4	12	AC
IL17C	2	AC
MIR4744	14	AC
NLRP7	3	AC
LMX1A	0	AC
SSTR3	0	AC
MIR4263	1	AC
FAM170A	2	AC
LOC100505545	1	AC
MIR16-2	4	AC
SNORD95	1	AC
LINC00446	3	AC
MIR5010	0	AC
HAO2	4	AC
ANKRD63	8	AC
SNORD52	4	AC
MIR29C	3	AC
TFAP2D	6	AC
SUSD3	5	AC
HMHB1	1	AC
SNORD1B	1	AC
SNORD4B	3	AC
SNORA70D	4	AC
SNORD6	1	AC
LRRC72	1	AC
SNORD81	2	AC
LINC00161	0	AC
CHRNA6	0	AC
OR2T1	6	AC
KRTAP5-10	0	AC
BPIFB4	5	AC
GCSAML-AS1	3	AC
LINC00589	4	AC
COL4A2-AS1	4	AC
TAAR6	0	AC
CCR7	3	AC
VAX1	1	AC
PCDHB1	2	AC
RGL3	2	AC
LOC100507391	8	AC
MIR1182	1	AC
LOC401463	2	AC
NOX3	0	AC
C7orf45	8	AC
LOC284294	2	AC
OR8B12	2	AC
CCDC54	4	AC
CGB7	0	AC
FAM153A	2	AC
TTTY9A	2	AC
TTTY9B	2	AC
LOC340074	8	AC
AADAC	8	AC
RGS13	1	AC
CLDN10-AS1	8	AC
LOC340107	8	AC
SLC17A3	0	AC
GCNT3	1	AC
CARTPT	1	AC
SIGLEC7	5	AC
CD3E	1	AC
IL22RA2	0	AC
KNCN	2	AC
ZAR1L	0	AC
LRIT1	5	AC
LOC284788	6	AC
SEMG2	2	AC
CST5	1	AC
BLK	11	AC
TGM6	1	AC
PROKR1	1	AC
LINC00347	30	AC
HOXB13	14	AC
LILRA2	0	AC
CREB3L3	6	AC
TRIM55	0	AC
TREM2	8	AC
SIGLEC5	8	AC
CYP4F8	0	AC
CXXC1P1	5	AC
SP8	28	AC
OR4C16	3	AC
OR8D4	2	AC
LOC100505964	3	AC
LINC00442	6	AC
RCVRN	0	AC
P2RX3	6	AC
LMAN1L	2	AC
CTLA4	8	AC
TAAR2	14	AC
SPATA31A2	1	AC
SIM1	2	AC
PRLHR	1	AC
LINC00421	1	AC
KRT16P2	3	AC
IFNW1	1	AC
ERG	0	AC
OR6C1	30	AC
POTEA	2	AC
MLIP-IT1	1	AC
C11orf86	5	AC
ENPP7	0	AC
CNPY1	2	AC
OR4B1	3	AC
GMFG	0	AC
AFP	8	AC
CCDC70	8	AC
CLDN23	1	AC
LINC00661	5	AC
KLK15	1	AC
NLRP6	1	AC
LCP2	1	AC
FAM71B	4	AC
SNORD116-22	2	AC
GRAP2	28	AC
SIGLEC12	30	AC
FCER2	1	AC
GPR144	0	AC
KRTAP16-1	0	AC
KIRREL3-AS3	5	AC
CYP7A1	7	AC
OR4X1	2	AC
FGG	3	AC
KLHL33	1	AC
GCSAM	3	AC
SYT8	5	AC
OR9Q1	3	AC
LINC00290	1	AC
OR5D14	30	AC
KRTAP4-1	4	AC
FLJ20518	2	AC
OR51F2	2	AC
LCN12	0	AC
OR2B3	0	AC
OR10T2	12	AC
OR1D2	2	AC
GLYCAM1	0	AC
ASCL3	0	AC
CPN1	13	AC
PLA2G1B	4	AC
INSL4	8	AC
VCX2	0	AC
PTGER1	2	AC
ELSPBP1	1	AC
LY6G6F	6	AC
OR4K15	0	AC
NKX2-1	11	AC
OR52A5	3	AC
CRYBB1	1	AC
INMT-FAM188B	0	AC
OR4D1	6	AC
SPRR2A	4	AC
OR8B3	4	AC
NAA11	3	AC
OR10J5	4	AC
MYH2	2	AC
SRY	1	AC
CDX4	1	AC
CYP4Z2P	1	AC
MAGEB6	25	AC
ALDH3B2	11	AC
CEACAM18	2	AC
LRRC15	30	AC
CACTIN-AS1	0	AC
SAG	7	AC
LINC00305	1	AC
LOC100507600	30	AC
ANXA8	2	AC
OR2AG1	3	AC
CLDN25	1	AC
PRSS57	0	AC
LOC100093698	30	AC
ISM2	0	AC
HPYR1	0	AC
MYOZ2	1	AC
LOC284798	2	AC
GUCA2B	2	AC
CLPSL1	6	AC
IDO2	3	AC
FABP12	0	AC
LIPN	0	AC
ACTBL2	1	AC
TMPRSS11GP	0	AC
SAMD12-AS1	8	AC
XKR3	4	AC
KRTAP9-3	1	AC
OR5W2	12	AC
OR5D16	1	AC
PHOX2A	1	AC
S100A5	6	AC
LOC400558	4	AC
SNORA5B	7	AC
SNORD64	0	AC
LOC100131726	0	AC
PIP	5	AC
DEFB134	1	AC
OR6C2	1	AC
KLRG2	8	AC
LINC00582	2	AC
LINC00462	1	AC
LPAR3	0	AC
ARMS2	0	AC
TCF24	1	AC
KLKP1	8	AC
KRT33B	1	AC
OR5K3	5	AC
SPRR2B	4	AC
LOC283332	4	AC
UBE2MP1	1	AC
KRT38	10	AC
TMEM244	2	AC
LOC285084	1	AC
OR2M1P	0	AC
LBP	8	AC
OR1J2	30	AC
MIR1291	1	AC
MIRLET7A2	6	AC
KLK3	0	AC
DGAT2L6	12	AC
ARHGEF3-AS1	0	AC
TBX22	0	AC
TGIF2LX	7	AC
HAO1	30	AC
MIR198	0	AC
COX4I2	1	AC
C10orf53	12	AC
OR52E6	14	AC
SPDYC	14	AC
KRTAP12-3	5	AC
TMPRSS11E	30	AC
SNORA39	0	AC
CPA6	3	AC
MS4A5	0	AC
SYNDIG1L	2	AC
PVALB	0	AC
XGPY2	6	AC
MIR3935	1	AC
OR56A4	8	AC
CCM2L	1	AC
GSTTP1	1	AC
SNORA36B	1	AC
SOX17	1	AC
LHX8	5	AC
AADACL2	1	AC
MYH8	12	AC
LINC00595	0	AC
