source	target	weight
FAM41AY1	FAM41AY2	1
MIR137	GOT1L1	1
MIR1270-1	MIR1270-2	1
HOXB-AS5	MIR211	1
MIR4315-1	MIR4315-2	1
CAMP	MIR4760	1
SERPINA9	MIR548J	1
LCN9	MIR5708	1
CAMP	MIR941-2	1
MIR4760	MIR941-2	1
HOXB-AS5	OR51G2	1
MIR211	OR51G2	1
MIR627	OR9Q2	1
ASCL4	OSTN	1
SERPINA9	REG1B	1
MIR548J	REG1B	1
MIR105-2	BHLHA9	1
MSMB	BSPH1	1
ACTN1-AS1	KRTAP10-4	1
GDF3	LOC158376	1
ASCL4	LOC653486	1
OSTN	LOC653486	1
ATP6V0CP3	MIR3660	1
ACTN1-AS1	MIR3666	1
KRTAP10-4	MIR3666	1
MIR1270-1	MIR4490	1
MIR1270-2	MIR4490	1
GDF3	MIR553	1
LOC158376	MIR553	1
MIR5685	MIR641	1
HOXB-AS5	MIR642B	1
MIR211	MIR642B	1
OR51G2	MIR642B	1
MIR216A	NAALADL2-AS3	1
ASCL4	OACYLP	1
OSTN	OACYLP	1
LOC653486	OACYLP	1
H2AFB2	SNORD114-26	1
HOXB-AS5	SULT6B1	1
MIR211	SULT6B1	1
OR51G2	SULT6B1	1
MIR642B	SULT6B1	1
KRTAP4-12	C2CD4B	1
MIR18A	HS3ST6	1
HTN3	SLC17A9	0.946080725378325
KLK12	GJA10	1
GH1	GH2	1
RTP3	OR56B4	1
SNORD121A	OR5B3	1
ACTN1-AS1	KRTAP10-5	1
KRTAP10-4	KRTAP10-5	1
MIR3666	KRTAP10-5	1
MIR100	OR2C3	1
SERPINA9	MAGEB5	1
MIR548J	MAGEB5	1
REG1B	MAGEB5	1
ACTN1-AS1	KRTAP10-7	1
KRTAP10-4	KRTAP10-7	1
MIR3666	KRTAP10-7	1
KRTAP10-5	KRTAP10-7	1
OLIG3	GPRC5D	0.968657201519235
MSMB	OR5D13	1
BSPH1	OR5D13	1
OR2V2	SPINK1	1
HOXC13	KRT79	0.870279812278684
SERPINA9	MGC27382	1
MIR548J	MGC27382	1
REG1B	MGC27382	1
MAGEB5	MGC27382	1
MIR454	REG3G	1
HSFY1P1	HS3ST4	1
MLNR	USP17L19	0.904631323963795
OR3A1	NCR2	0.851446920365655
C16orf78	C1orf68	1
OR14I1	BANF2	1
OR2V2	RAET1L	1
SPINK1	RAET1L	1
CAPN11	OTOL1	0.868828502561738
SERPINA9	LOC154872	1
MIR548J	LOC154872	1
REG1B	LOC154872	1
MAGEB5	LOC154872	1
MGC27382	LOC154872	1
CAPN11	SHH	0.868828502561738
OTOL1	SHH	1
OLIG3	OR5A2	0.968657201519235
GPRC5D	OR5A2	1
MIR502	IL1F10	1
CD1B	NARR	1
FGF22	LACRT	0.817708060869208
HOXB-AS5	OR56A3	1
MIR211	OR56A3	1
OR51G2	OR56A3	1
MIR642B	OR56A3	1
SULT6B1	OR56A3	1
HSFY1P1	LYZL1	0.809304527209552
HS3ST4	LYZL1	0.809304527209551
TCP10	HOXD12	0.805900021859502
MIR502	KRTAP2-4	1
IL1F10	KRTAP2-4	1
SERPINA9	CCL8	1
MIR548J	CCL8	1
REG1B	CCL8	1
