id	gene
1	MIR137
2	MIR216A
3	SERPINA9
4	ACTN1-AS1
5	AHSP
6	ASCL4
7	ATP6V0CP3
8	C10orf99
9	C16orf78
10	C19orf33
11	CAMP
12	FAM41AY1
13	FAM41AY2
14	FGF22
15	GNLY
16	GOT1L1
17	H2AFB2
18	HOXB-AS3
19	HOXB-AS5
20	HOXB8
21	HSFY1P1
22	IL9
23	KLK12
24	KRTAP2-1
25	LCN9
26	LINC00239
27	LINC00499
28	MAGEA5
29	MIR100
30	MIR105-2
31	MIR1207
32	MIR1270-1
33	MIR1270-2
34	MIR18A
35	MIR211
36	MIR3132
37	MIR378D2
38	MIR4315-1
39	MIR4315-2
40	MIR4760
41	MIR502
42	MIR5196
43	MIR548I3
44	MIR548J
45	MIR5685
46	MIR5708
47	MIR627
48	MIR941-2
49	MSMB
50	OR10G3
51	OR14I1
52	OR51G2
53	OR9Q2
54	OSTN
55	PAGE4
56	REG1B
57	RTP3
58	SCGB1D2
59	SNORA36C
60	SNORD58A
61	UGT2B17
62	ZCCHC13
63	BHLHA9
64	BSPH1
65	GDF3
66	GH1
67	GSC
68	HRASLS2
69	HTN3
70	KRTAP10-4
71	KRTAP4-12
72	LOC158376
73	LOC653486
74	MIR3155A
75	MIR3193
76	MIR3660
77	MIR3666
78	MIR4317
79	MIR4490
80	MIR454
81	MIR553
82	MIR632
83	MIR635
84	MIR641
85	MIR642B
86	MIR661
87	MIR940
88	NAALADL2-AS3
89	NKX2-6
90	OACYLP
91	OR3A1
92	PADI4
93	SLC25A3P1
94	SNORD114-26
95	SNORD121A
96	SNORD71
97	SULT6B1
98	SOCS2-AS1
99	LOC440925
100	HOXC8
101	C2CD4B
102	OR1F2P
103	MYL4
104	HS3ST6
105	C22orf42
106	SLC17A9
107	CEACAM16
108	CTAG2
109	GJA10
110	LCN15
111	BDKRB1
112	OR2V2
113	TMEM114
114	HOXC13
115	GH2
116	TCP10
117	TM4SF5
118	CTXN3
119	OR56B4
120	MS4A6E
121	LOC643733
122	MLNR
123	OR5B3
124	GLYATL3
125	TEX28
126	OR52N1
127	KRTAP10-5
128	LINC00443
129	OR2C3
130	GALNTL5
131	MAGEB5
132	KRTAP10-7
133	OLIG3
134	GPRC5D
135	SIGLECL1
136	ASB9
137	OR5D13
138	MIR5684
139	SPINK1
140	KRT79
141	CAPN11
142	MNX1
143	CD1B
144	MIR2277
145	MGC27382
146	REG3G
147	HS3ST4
148	USP17L19
149	NCR2
150	TRIM40
151	C1orf68
152	BANF2
153	RAET1L
154	SMR3B
155	CCDC179
156	KIF12
157	OTOL1
158	LOC154872
159	RFPL4B
160	DPYD-AS1
161	KRTAP10-2
162	OR2G2
163	HOXA10-HOXA9
164	SHH
165	OR51B4
166	SNORA60
