gene	deg_total	group
CSHL1	3	OC
KCNMB2-IT1	3	OC
LCE3C	7	OC
MIR508	5	OC
MIR5680	1	OC
TTTY7B	5	OC
ALPPL2	102	OC
ANP32D	1	OC
APOBEC1	10	OC
APOC4-APOC2	2	OC
ARL14	1	OC
C10orf91	102	OC
C11orf40	1	OC
C1orf127	3	OC
CD300C	102	OC
CEACAM20	3	OC
CSH1	6	OC
CSN1S2BP	2	OC
CST2	0	OC
CTSL3P	0	OC
DEFB4A	15	OC
DLX5	5	OC
DSCR10	1	OC
DUPD1	0	OC
DUX4L2	4	OC
DUX4L3	4	OC
DUX4L5	4	OC
DUX4L6	4	OC
EDDM3B	5	OC
FAM197Y2	4	OC
FAM197Y5	4	OC
GATA3-AS1	1	OC
GP9	1	OC
GPR31	0	OC
GZMK	6	OC
HLA-DQA2	102	OC
IFNE	0	OC
IL22	2	OC
KHDC3L	0	OC
KIF2B	5	OC
KRT85	34	OC
KRTAP12-1	4	OC
KRTAP4-2	1	OC
KRTAP5-3	1	OC
KRTAP9-9	3	OC
LINC00111	5	OC
LOC100507384	1	OC
LOC286442	34	OC
LOC645355	3	OC
MAGEA10-MAGEA5	6	OC
MAGEA9	0	OC
MARCO	7	OC
MB	29	OC
MIR103B2	0	OC
MIR1180	0	OC
MIR1224	2	OC
MIR1236	0	OC
MIR135A1	3	OC
MIR142	2	OC
MIR147B	6	OC
MIR181B2	6	OC
MIR191	1	OC
MIR195	1	OC
MIR2110	0	OC
MIR23C	3	OC
MIR2467	3	OC
MIR29B1	0	OC
MIR29B2	3	OC
MIR301B	2	OC
MIR3074	2	OC
MIR3123	1	OC
MIR3668	5	OC
MIR3907	10	OC
MIR412	8	OC
MIR4269	3	OC
MIR4453	3	OC
MIR4722	0	OC
MIR4738	1	OC
MIR4784	1	OC
MIR520E	5	OC
MIR575	0	OC
MIR663B	102	OC
MIR889	8	OC
MOGAT2	102	OC
NEUROG2	1	OC
OR10G4	3	OC
OR4E2	102	OC
OR4K13	102	OC
OR4K17	3	OC
OR4S2	1	OC
OR5E1P	3	OC
OR6Y1	102	OC
OR7G1	2	OC
PCGEM1	102	OC
PLA2G12B	3	OC
PRSS16	1	OC
RAB9BP1	6	OC
S100A12	1	OC
SGK110	3	OC
SNORD114-8	0	OC
SNORD7	4	OC
SNORD73A	1	OC
SNORD88C	5	OC
TTTY22	15	OC
ZNF683	0	OC
AA06	102	OC
BATF	3	OC
BPIFA3	15	OC
CSAG1	5	OC
DEFA4	2	OC
EMR3	4	OC
HIST1H2AA	1	OC
KRT74	2	OC
KRT9	7	OC
KRTAP10-10	2	OC
KRTAP11-1	29	OC
KRTAP12-2	4	OC
KRTAP3-1	102	OC
KRTAP6-2	1	OC
LINC00332	34	OC
LINC00359	15	OC
LINC00592	0	OC
LOC100131635	0	OC
LOC100287632	0	OC
LOC100507334	6	OC
MBD3L1	2	OC
MIR1197	3	OC
MIR1301	1	OC
MIR190A	34	OC
MIR26A2	0	OC
MIR3124	0	OC
MIR3192	3	OC
MIR329-1	3	OC
MIR329-2	3	OC
MIR378C	102	OC
MIR425	1	OC
MIR4271	7	OC
MIR4311	2	OC
MIR4473	1	OC
MIR4513	1	OC
MIR4633	0	OC
MIR4636	3	OC
MIR4705	5	OC
MIR4735	0	OC
MIR491	3	OC
MIR514A1	29	OC
MIR598	3	OC
MIR613	1	OC
MIR877	2	OC
MIR939	0	OC
MYL2	0	OC
NR0B2	102	OC
OR2Y1	102	OC
OR3A3	102	OC
OR4D6	10	OC
OR4D9	2	OC
OR6Q1	1	OC
PIR-FIGF	1	OC
PRG1	3	OC
SERPINA5	102	OC
SERPINB12	29	OC
SNORD114-20	10	OC
SNORD115-21	1	OC
SNORD41	1	OC
SNORD56B	4	OC
SPP2	3	OC
TNNI2	0	OC
TREML5P	7	OC
SPDYE4	29	OC
LOC440925	3	OC
SIGLEC6	2	OC
OR2T2	3	OC
OR4N4	3	OC
SERPINB5	0	OC
FEZF1-AS1	102	OC
FLJ46300	102	OC
CCR4	1	OC
LILRB5	102	OC
MYL4	0	OC
TSPAN32	0	OC
GPR101	9	OC
OR13C3	0	OC
BPIFB3	0	OC
HS3ST6	102	OC
C22orf42	0	OC
HNF1B	29	OC
OR6C65	102	OC
CXCL10	4	OC
CCDC166	6	OC
OR11G2	1	OC
OR13F1	5	OC
GJA10	102	OC
LCN15	0	OC
PRB3	0	OC
LINC00208	3	OC
MYF6	7	OC
BDKRB1	0	OC
LOC100130275	2	OC
AGXT2	1	OC
MSC	102	OC
PAX2	102	OC
UTS2R	2	OC
LINC00619	12	OC
NKX3-2	102	OC
OR5T1	6	OC
OR1L3	15	OC
GTSF1L	102	OC
BET3L	0	OC
TTTY11	2	OC
KRT33A	2	OC
LYZL4	29	OC
FATE1	29	OC
CTXN3	0	OC
KRT36	15	OC
OR56B4	102	OC
MAGEA2	102	OC
C15orf53	102	OC
PLA2G4D	0	OC
CD300LF	7	OC
HOXC6	1	OC
SMEK3P	9	OC
UGT1A3	6	OC
HAND2	6	OC
AMY1C	31	OC
SNORD116-8	1	OC
FAM47B	4	OC
OR5B3	29	OC
OTOP3	12	OC
C17orf105	6	OC
PRAMEF5	29	OC
KRT16P3	102	OC
C20orf78	3	OC
OR52N1	5	OC
HOXC9	3	OC
DEFA1	2	OC
DEFA1B	2	OC
KRTAP10-5	7	OC
HIST1H2APS1	1	OC
OR2C3	102	OC
GALNTL5	1	OC
MAGEB5	0	OC
TPRX1	34	OC
KRTAP10-7	1	OC
MS4A15	0	OC
OLIG3	0	OC
HOXA11-AS	0	OC
OR8D2	1	OC
DNMT3L	5	OC
KRTAP4-6	2	OC
GKN1	6	OC
KRTAP12-4	6	OC
LOC388553	7	OC
MIR5684	0	OC
HHEX	10	OC
SPINK1	29	OC
LGALS7B	2	OC
OR2F1	1	OC
PTH2	0	OC
MNX1	102	OC
SPRR2G	7	OC
GZMB	0	OC
OR6C74	102	OC
HSD17B2	2	OC
KC6	1	OC
BSND	4	OC
CD1B	2	OC
LAIR2	0	OC
C22orf34	0	OC
TEX37	7	OC
FLJ41350	34	OC
UBASH3A	102	OC
MGC27382	0	OC
REG3G	29	OC
CLDN14	1	OC
LOC100133461	0	OC
UGT1A4	6	OC
MIR4999	2	OC
LOC100286922	2	OC
FOLR3	12	OC
C1orf68	6	OC
NEU2	34	OC
LOC100128750	2	OC
BANF2	10	OC
C20orf141	102	OC
FLJ42969	0	OC
SMR3B	34	OC
IFNA8	2	OC
LCE6A	102	OC
KRTAP10-2	102	OC
OR10A4	1	OC
MIR556	1	OC
DNAJB8	102	OC
IBSP	0	OC
WFDC9	2	OC
SNORA60	0	OC
FFAR1	1	OC
LOC285548	5	OC
RNF186	92	OC
OR56A5	5	OC
RDH8	92	OC
NARR	0	OC
TAAR1	7	OC
SNORD59B	2	OC
TAS2R41	2	OC
MIR1-2	3	OC
SNAR-C3	102	OC
LOC100130480	6	OC
TTTY1	5	OC
SCXA	2	OC
SCXB	2	OC
BPY2	3	OC
BPY2B	3	OC
BPY2C	3	OC
GNG13	15	OC
MIR3692	2	OC
LOC340094	15	OC
PDZK1IP1	15	OC
MIR4720	0	OC
CCL8	7	OC
GAST	5	OC
GLT6D1	0	OC
MIR548AA2	2	OC
SNORD116-28	5	OC
MIR933	0	OC
MIR3140	6	OC
CCDC148-AS1	29	OC
LOC732275	15	OC
PRKACG	2	OC
DMRTA2	102	OC
BTG4	0	OC
MIR4306	1	OC
MIR550B1	0	OC
FGF16	3	OC
KRTAP10-3	3	OC
GNGT1	34	OC
MMP7	5	OC
PAX4	0	OC
TTTY2	5	OC
TTTY2B	5	OC
GNGT2	34	OC
CDX1	92	OC
OR6C68	5	OC
SPANXA2	2	OC
XPNPEP2	0	OC
CELA3B	8	OC
IFNA14	2	OC
TPSAB1	0	OC
KRTAP10-8	1	OC
PDE6H	3	OC
CSTL1	0	OC
IL36G	5	OC
MRGPRG	102	OC
SPERT	5	OC
MIR591	5	OC
SAA4	2	OC
MIR636	2	OC
LCN1	3	OC
MIR4724	1	OC
MIR3125	0	OC
SPRR2D	29	OC
OR5AR1	29	OC
MIR548D2	2	OC
OR14J1	7	OC
FRG2B	3	OC
LOC100507003	0	OC
LINC00229	4	OC
LINC00159	2	OC
KRT12	0	OC
SPINK14	1	OC
MIR663A	0	OC
AMELX	4	OC
KRTAP9-4	7	OC
MIR497	1	OC
OXT	1	OC
SNORA69	1	OC
SNORD116-1	102	OC
MIR130A	3	OC
CHODL-AS1	2	OC
MIR4657	2	OC
MIR3200	1	OC
MYOD1	5	OC
MIR499A	1	OC
OPN1MW	102	OC
MIR423	0	OC
MIR3939	1	OC
LOC100130700	1	OC
FMO9P	7	OC
REG1A	5	OC
ZCCHC5	2	OC
LRRC37A5P	0	OC
CLDN8	102	OC
VAV3-AS1	5	OC
SYNPR-AS1	5	OC
LRRC3C	3	OC
C8orf87	2	OC
CDRT7	5	OC
KRTAP19-1	2	OC
TAAR8	8	OC
MIR103A2	4	OC
IL17F	6	OC
PF4V1	6	OC
GUCA2A	0	OC
SNORD113-7	3	OC
SNORA79	0	OC
LOC388813	0	OC
CRYGN	1	OC
MYADML	3	OC
MIR1179	2	OC
SNORD61	1	OC
MIR3913-2	34	OC
ZFX-AS1	3	OC
SCGN	1	OC
MIR3198-1	1	OC
GPR141	5	OC
MIOX	0	OC
MIR194-1	1	OC
SLC2A7	102	OC
LINC00029	0	OC
SNORD18A	3	OC
SNORD93	0	OC
PTF1A	5	OC
OR10AG1	1	OC
MIR384	2	OC
LINC00333	0	OC
MIR219-1	0	OC
MIR221	5	OC
CRLF2	3	OC
WFDC10A	0	OC
TTLL10	3	OC
WBSCR28	1	OC
RESP18	0	OC
SNORD91B	2	OC
C9orf173	1	OC
MIR3620	1	OC
APOC3	5	OC
NKX6-3	0	OC
SERPINA7	5	OC
TMEM252	5	OC
PRSS56	34	OC
TPPP2	15	OC
SNORD105B	2	OC
MIR4691	2	OC
SNORD18C	3	OC
MIR130B	2	OC
MBD3L2	102	OC
BHLHE22	1	OC
IFNA7	102	OC
CLEC4M	2	OC
UGT1A9	2	OC
LOC285768	102	OC
C6orf222	102	OC
AMN	4	OC
C11orf21	102	OC
SIT1	31	OC
TEX13B	0	OC
OR10G9	5	OC
KIR3DL3	15	OC
RBMXL2	0	OC
TUBA4B	0	OC
SDR42E1	1	OC
C6orf7	0	OC
ATXN3L	1	OC
AKAP4	5	OC
MAGEA1	0	OC
C1orf200	6	OC
KRTAP9-1	30	OC
DCSTAMP	0	OC
SOHLH1	102	OC
WNT8A	1	OC
GTSF1	7	OC
OR5AC2	5	OC
FEZF2	1	OC
LOC344887	6	OC
FLJ40288	0	OC
LHX5	5	OC
SSTR4	93	OC
GATA6	1	OC
OR5P2	10	OC
KRT32	102	OC
PPBP	1	OC
HS3ST2	0	OC
PP12613	2	OC
OR7C2	34	OC
CLEC4F	102	OC
FGF6	34	OC
HNF4A	32	OC
HBA2	1	OC
NUP210P1	3	OC
HBA1	1	OC
SERPINA12	102	OC
SNORD108	3	OC
OR10S1	1	OC
PIWIL1	5	OC
IRG1	102	OC
KRT77	0	OC
REG1P	6	OC
OR7C1	29	OC
GFRA4	0	OC
KRTAP5-11	7	OC
MIR1307	0	OC
DLX2	0	OC
PSORS1C2	1	OC
OR4C6	1	OC
LOC401109	0	OC
MAGEB18	102	OC
SERPINB3	6	OC
KRT25	7	OC
MRGPRD	6	OC
TRIM10	0	OC
APOA5	0	OC
OR2G6	10	OC
RLN3	0	OC
ZG16B	1	OC
OR5J2	1	OC
PLA2G2D	1	OC
OR8H1	6	OC
SLC17A7	3	OC
FRMD1	7	OC
TBPL2	4	OC
CRH	2	OC
RBBP8NL	102	OC
GPIHBP1	0	OC
C7orf34	102	OC
HTR3D	3	OC
TWIST2	102	OC
KRT72	92	OC
OR2T35	102	OC
OR6C3	2	OC
OR2W5	7	OC
CLEC1B	2	OC
OR8A1	29	OC
FAM83F	2	OC
C16orf11	0	OC
TAAR5	2	OC
GDF2	2	OC
LOC149950	5	OC
MAS1L	102	OC
CSN3	5	OC
LOC340073	102	OC
OR6N1	6	OC
OR2AP1	5	OC
DEFB125	12	OC
KRT83	10	OC
USP17L18	1	OC
GABRR3	29	OC
CLEC9A	29	OC
VN1R10P	4	OC
OR2W1	0	OC
SCGB1D4	1	OC
CPLX4	0	OC
ACTL9	32	OC
AKR1C4	1	OC
PRSS58	34	OC
LOC730441	0	OC
TSPAN16	4	OC
OR6C76	0	OC
MIR941-3	1	OC
KRT76	12	OC
DEFB129	7	OC
PNLIPRP2	0	OC
RTP2	1	OC
IL21	1	OC
GCG	1	OC
TMCO5B	2	OC
OR1L1	7	OC
LINC00460	1	OC
KRTAP5-6	0	OC
LINC00308	0	OC
CD200R1L	1	OC
OR1D4	1	OC
OR51D1	5	OC
LOC441025	0	OC
OR9A4	5	OC
CDC42EP5	3	OC
OR8U1	102	OC
SERPINB11	94	OC
LOC201651	0	OC
HBD	4	OC
OR2G3	3	OC
IQCF2	7	OC
IFNA2	0	OC
GRXCR1	15	OC
FOXI1	2	OC
DEFB114	1	OC
LOC284661	1	OC
LOC442497	6	OC
OR4F6	3	OC
CXorf61	1	OC
PRAMEF18	29	OC
PRAMEF19	29	OC
PITX2	2	OC
LOC643037	1	OC
CRYGB	10	OC
MAGEB4	6	OC
KRT34	0	OC
VAV1	2	OC
BIRC8	3	OC
MCCD1	0	OC
SERPINA11	29	OC
MIR4482-1	1	OC
LINC00160	102	OC
KRT16P1	10	OC
OR1B1	34	OC
LOC1720	3	OC
SERPINB2	2	OC
XCL2	5	OC
FAM154A	1	OC
CD177	102	OC
MMP13	8	OC
IGFL1	0	OC
KRT39	3	OC
KRTAP7-1	0	OC
BPESC1	3	OC
USP17L11	1	OC
LCE2A	3	OC
TNNC1	3	OC
GM140	12	OC
FGF19	102	OC
HOXB1	2	OC
LCE3D	7	OC
SNORA37	1	OC
C17orf82	2	OC
FAM24A	3	OC
C7orf66	6	OC
DEFB119	0	OC
SNORA35	2	OC
DNAJB3	5	OC
CXCR3	102	OC
LOC440117	2	OC
WT1-AS	9	OC
LOC400620	32	OC
PTTG2	2	OC
LINC00469	0	OC
KRT71	3	OC
APOA2	0	OC
LOC100129427	34	OC
HOXC-AS5	5	OC
SNORD70	0	OC
TEX19	102	OC
MIR5688	4	OC
MIR3679	4	OC
OR6X1	0	OC
DCAF8L1	94	OC
DEFB132	1	OC
CXorf27	5	OC
OR4N5	2	OC
CXCR1	29	OC
FOXE3	102	OC
TMEM8C	15	OC
THBD	102	OC
CRYGC	0	OC
PMCHL1	1	OC
MAS1	28	OC
VCX3A	4	OC
NTF3	1	OC
PI3	4	OC
MIR3616	0	OC
SATB2-AS1	1	OC
TRIML1	0	OC
TSGA10IP	8	OC
C9orf106	4	OC
FAM153B	5	OC
PRODH2	0	OC
MIR1972-1	3	OC
MIR1972-2	3	OC
MIR3940	2	OC
RNASE10	1	OC
SLC25A47	6	OC
MIR626	0	OC
IFNA6	2	OC
ADCYAP1	3	OC
NPVF	1	OC
AP1B1P1	0	OC
LOC149086	0	OC
FOXD3	1	OC
KLRF2	0	OC
IFNL1	1	OC
APOA4	102	OC
LINC00841	2	OC
OR7G3	10	OC
OR5K4	8	OC
MIR3618	0	OC
AWAT2	4	OC
MIR920	1	OC
SNORD9	2	OC
MIR4763	1	OC
MIR4803	2	OC
RNASE13	0	OC
SMPX	3	OC
LCE3E	7	OC
CCL11	102	OC
OR8B4	0	OC
