source	target	weight
ALPPL2	C10orf91	1
ALPPL2	CD300C	1
C10orf91	CD300C	1
MIR508	DLX5	1
DUX4L2	DUX4L3	1
DUX4L2	DUX4L5	1
DUX4L3	DUX4L5	1
DUX4L2	DUX4L6	1
DUX4L3	DUX4L6	1
DUX4L5	DUX4L6	1
FAM197Y2	FAM197Y5	1
ALPPL2	HLA-DQA2	1
C10orf91	HLA-DQA2	1
CD300C	HLA-DQA2	1
EDDM3B	KIF2B	1
KRT85	LOC286442	1
KCNMB2-IT1	LOC645355	1
CSH1	MAGEA10-MAGEA5	1
GZMK	MIR147B	1
MIR1224	MIR3074	1
MIR508	MIR520E	1
DLX5	MIR520E	1
ALPPL2	MIR663B	1
C10orf91	MIR663B	1
CD300C	MIR663B	1
HLA-DQA2	MIR663B	1
MIR412	MIR889	1
ALPPL2	MOGAT2	1
C10orf91	MOGAT2	1
CD300C	MOGAT2	1
HLA-DQA2	MOGAT2	1
MIR663B	MOGAT2	1
ALPPL2	OR4E2	1
C10orf91	OR4E2	1
CD300C	OR4E2	1
HLA-DQA2	OR4E2	1
MIR663B	OR4E2	1
MOGAT2	OR4E2	1
ALPPL2	OR4K13	1
C10orf91	OR4K13	1
CD300C	OR4K13	1
HLA-DQA2	OR4K13	1
MIR663B	OR4K13	1
MOGAT2	OR4K13	1
OR4E2	OR4K13	1
ALPPL2	OR6Y1	1
C10orf91	OR6Y1	1
CD300C	OR6Y1	1
HLA-DQA2	OR6Y1	1
MIR663B	OR6Y1	1
MOGAT2	OR6Y1	1
OR4E2	OR6Y1	1
OR4K13	OR6Y1	1
ALPPL2	PCGEM1	1
C10orf91	PCGEM1	1
CD300C	PCGEM1	1
HLA-DQA2	PCGEM1	1
MIR663B	PCGEM1	1
MOGAT2	PCGEM1	1
OR4E2	PCGEM1	1
OR4K13	PCGEM1	1
OR6Y1	PCGEM1	1
MIR4784	PRSS16	1
MIR181B2	RAB9BP1	1
DEFB4A	TTTY22	1
ALPPL2	AA06	1
C10orf91	AA06	1
CD300C	AA06	1
HLA-DQA2	AA06	1
MIR663B	AA06	1
MOGAT2	AA06	1
OR4E2	AA06	1
OR4K13	AA06	1
OR6Y1	AA06	1
PCGEM1	AA06	1
DEFB4A	BPIFA3	1
TTTY22	BPIFA3	1
LINC00111	CSAG1	1
CSN1S2BP	DEFA4	1
KRTAP12-1	EMR3	1
