id	gene
1	CSHL1
2	KCNMB2-IT1
3	LCE3C
4	MIR508
5	MIR5680
6	TTTY7B
7	ALPPL2
8	ANP32D
9	APOBEC1
10	APOC4-APOC2
11	ARL14
12	C10orf91
13	C11orf40
14	C1orf127
15	CD300C
16	CEACAM20
17	CSH1
18	CSN1S2BP
19	CST2
20	CTSL3P
21	DEFB4A
22	DLX5
23	DSCR10
24	DUPD1
25	DUX4L2
26	DUX4L3
27	DUX4L5
28	DUX4L6
29	EDDM3B
30	FAM197Y2
31	FAM197Y5
32	GATA3-AS1
33	GP9
34	GPR31
35	GZMK
36	HLA-DQA2
37	IFNE
38	IL22
39	KHDC3L
40	KIF2B
41	KRT85
42	KRTAP12-1
43	KRTAP4-2
44	KRTAP5-3
45	KRTAP9-9
46	LINC00111
47	LOC100507384
48	LOC286442
49	LOC645355
50	MAGEA10-MAGEA5
51	MAGEA9
52	MARCO
53	MB
54	MIR103B2
55	MIR1180
56	MIR1224
57	MIR1236
58	MIR135A1
59	MIR142
60	MIR147B
61	MIR181B2
62	MIR191
63	MIR195
64	MIR2110
65	MIR23C
66	MIR2467
67	MIR29B1
68	MIR29B2
69	MIR301B
70	MIR3074
71	MIR3123
72	MIR3668
73	MIR3907
74	MIR412
75	MIR4269
76	MIR4453
77	MIR4722
78	MIR4738
79	MIR4784
80	MIR520E
81	MIR575
82	MIR663B
83	MIR889
84	MOGAT2
85	NEUROG2
86	OR10G4
87	OR4E2
88	OR4K13
89	OR4K17
90	OR4S2
91	OR5E1P
92	OR6Y1
93	OR7G1
94	PCGEM1
95	PLA2G12B
96	PRSS16
97	RAB9BP1
98	S100A12
99	SGK110
100	SNORD114-8
101	SNORD7
102	SNORD73A
103	SNORD88C
104	TTTY22
105	ZNF683
106	AA06
107	BATF
108	BPIFA3
109	CSAG1
110	DEFA4
111	EMR3
112	HIST1H2AA
113	KRT74
114	KRT9
115	KRTAP10-10
116	KRTAP11-1
117	KRTAP12-2
118	KRTAP3-1
119	KRTAP6-2
120	LINC00332
121	LINC00359
122	LINC00592
123	LOC100131635
124	LOC100287632
125	LOC100507334
126	MBD3L1
127	MIR1197
128	MIR1301
129	MIR190A
130	MIR26A2
131	MIR3124
132	MIR3192
133	MIR329-1
134	MIR329-2
135	MIR378C
136	MIR425
137	MIR4271
138	MIR4311
139	MIR4473
140	MIR4513
141	MIR4633
142	MIR4636
143	MIR4705
144	MIR4735
145	MIR491
146	MIR514A1
147	MIR598
148	MIR613
149	MIR877
150	MIR939
151	MYL2
152	NR0B2
153	OR2Y1
154	OR3A3
155	OR4D6
156	OR4D9
157	OR6Q1
158	PIR-FIGF
159	PRG1
160	SERPINA5
161	SERPINB12
162	SNORD114-20
163	SNORD115-21
164	SNORD41
165	SNORD56B
166	SPP2
167	TNNI2
168	TREML5P
169	SPDYE4
170	LOC440925
171	SIGLEC6
172	OR2T2
173	OR4N4
174	SERPINB5
175	FEZF1-AS1
176	FLJ46300
177	CCR4
178	LILRB5
179	MYL4
180	TSPAN32
181	GPR101
182	OR13C3
183	BPIFB3
184	HS3ST6
185	C22orf42
186	HNF1B
187	OR6C65
188	CXCL10
189	CCDC166
190	OR11G2
191	OR13F1
192	GJA10
193	LCN15
194	PRB3
195	LINC00208
196	MYF6
197	BDKRB1
198	LOC100130275
199	AGXT2
200	MSC
201	PAX2
202	UTS2R
203	LINC00619
204	NKX3-2
205	OR5T1
206	OR1L3
207	GTSF1L
208	BET3L
209	TTTY11
210	KRT33A
211	LYZL4
212	FATE1
213	CTXN3
214	KRT36
215	OR56B4
216	MAGEA2
217	C15orf53
218	PLA2G4D
219	CD300LF
220	HOXC6
221	SMEK3P
222	UGT1A3
223	HAND2
224	AMY1C
225	SNORD116-8
226	FAM47B
227	OR5B3
228	OTOP3
229	C17orf105
230	PRAMEF5
231	KRT16P3
232	C20orf78
233	OR52N1
234	HOXC9
235	DEFA1
236	DEFA1B
