gene	deg_total	group
CSH2	16	OPC
GLP2R	0	OPC
KISS1R	0	OPC
LINC00563	5	OPC
LOC254099	5	OPC
MIR340	1	OPC
MIR3607	1	OPC
MIR610	1	OPC
MRGPRX2	14	OPC
NPS	4	OPC
OR51M1	3	OPC
PRSS2	0	OPC
RNU6-19	2	OPC
SPAG11A	16	OPC
SULT1B1	2	OPC
ALOX15P1	0	OPC
BPIFA4P	14	OPC
C2orf53	8	OPC
C5orf58	10	OPC
CCL18	3	OPC
CCL20	1	OPC
CDRT15P2	10	OPC
CEBPE	1	OPC
CLC	15	OPC
CLEC4G	0	OPC
CPSF4L	14	OPC
CRB3	0	OPC
CSAG4	2	OPC
CSN1S2AP	0	OPC
CST11	2	OPC
CYP4B1	6	OPC
DEFB110	11	OPC
DEFB126	0	OPC
DEFB128	15	OPC
DEFB135	7	OPC
DKK4	0	OPC
DRGX	3	OPC
ECRP	1	OPC
FABP9	3	OPC
FAM187B	5	OPC
FAM99B	3	OPC
FBXO47	1	OPC
FGA	3	OPC
FLI1-AS1	7	OPC
GAGE7	6	OPC
GPR33	5	OPC
GPR50	8	OPC
GPX5	0	OPC
H2AFB1	2	OPC
H2AFB3	2	OPC
HBM	2	OPC
HIST1H4G	0	OPC
HMX3	3	OPC
HOXB9	0	OPC
HOXD11	0	OPC
HTN1	0	OPC
IFNA22P	3	OPC
IFNA4	1	OPC
KCNAB1-AS2	4	OPC
KLK1	0	OPC
KLK9	2	OPC
KRT15	0	OPC
KRT27	1	OPC
KRTAP21-2	3	OPC
KRTAP4-11	4	OPC
KRTAP4-4	16	OPC
KRTAP4-8	4	OPC
KRTAP6-3	9	OPC
KRTAP9-8	0	OPC
LALBA	0	OPC
LCE1F	3	OPC
LINC00112	15	OPC
LINC00162	2	OPC
LINC00254	1	OPC
LINC00424	5	OPC
LINC00651	6	OPC
LOC100132831	0	OPC
LOC100287534	16	OPC
LOC100287704	5	OPC
LOC285577	0	OPC
LOC286238	9	OPC
LRRC2-AS1	11	OPC
LRRC30	1	OPC
MIR105-1	0	OPC
MIR10B	1	OPC
MIR1204	0	OPC
MIR1245A	0	OPC
MIR1262	0	OPC
MIR128-2	1	OPC
MIR1292	0	OPC
MIR138-2	1	OPC
MIR146B	1	OPC
MIR150	8	OPC
MIR181C	7	OPC
MIR183	7	OPC
MIR192	1	OPC
MIR29A	0	OPC
MIR3121	8	OPC
MIR3142	0	OPC
MIR3169	4	OPC
MIR3202-1	8	OPC
MIR33B	16	OPC
MIR3609	4	OPC
MIR3649	7	OPC
MIR374B	1	OPC
MIR3941	2	OPC
MIR3976	5	OPC
MIR4284	2	OPC
MIR4296	0	OPC
MIR4300	0	OPC
MIR432	3	OPC
MIR4451	3	OPC
MIR4472-2	3	OPC
MIR4474	1	OPC
MIR4480	1	OPC
MIR449B	11	OPC
MIR450A2	5	OPC
MIR4515	0	OPC
MIR4519	1	OPC
MIR452	1	OPC
MIR4534	0	OPC
MIR4640	4	OPC
MIR4707	2	OPC
MIR4714	0	OPC
MIR4746	1	OPC
MIR5002	0	OPC
MIR5190	0	OPC
MIR5194	1	OPC
MIR519A1	15	OPC
MIR522	15	OPC
MIR548A1	3	OPC
MIR548F1	0	OPC
MIR548F4	5	OPC
MIR569	9	OPC
MIR572	1	OPC
MIR577	1	OPC
MIR586	2	OPC
MIR592	10	OPC
MIR593	1	OPC
MIR608	0	OPC
MIR643	0	OPC
MIR644B	0	OPC
MIR648	0	OPC
MIR658	1	OPC
MIR765	1	OPC
MIR943	3	OPC
MIRLET7A1	1	OPC
MMP20	2	OPC
NKX2-3	0	OPC
OPN1LW	0	OPC
OR10V1	4	OPC
OR4S1	0	OPC
OR52A1	0	OPC
OR52E4	11	OPC
OR5AU1	1	OPC
OR6C75	4	OPC
PGC	5	OPC
PITX1	1	OPC
PLA2G2E	11	OPC
PNLIP	1	OPC
PRM1	1	OPC
RBMY1D	3	OPC
RBMY1E	3	OPC
RBMY1F	3	OPC
RHOD	3	OPC
RNASE11	0	OPC
RNY5	3	OPC
SCGB2A1	3	OPC
SCT	0	OPC
SFTA2	0	OPC
SLFN12L	4	OPC
SMIM2-IT1	5	OPC
SNORD111B	0	OPC
SNORD113-5	1	OPC
SNORD37	4	OPC
SNORD49B	0	OPC
SNORD53	0	OPC
SNORD92	2	OPC
ST8SIA6-AS1	7	OPC
SULT1C3	0	OPC
SUN5	10	OPC
TFF2	1	OPC
TNFRSF18	10	OPC
TTTY13	17	OPC
TTTY5	17	OPC
TTTY8	17	OPC
TTTY8B	17	OPC
UGT1A1	5	OPC
