id	gene
1	CSH2
2	GLP2R
3	KISS1R
4	LINC00563
5	LOC254099
6	MIR340
7	MIR3607
8	MIR610
9	MRGPRX2
10	NPS
11	OR51M1
12	PRSS2
13	RNU6-19
14	SPAG11A
15	SULT1B1
16	ALOX15P1
17	BPIFA4P
18	C2orf53
19	C5orf58
20	CCL18
21	CCL20
22	CDRT15P2
23	CEBPE
24	CLC
25	CLEC4G
26	CPSF4L
27	CRB3
28	CSAG4
29	CSN1S2AP
30	CST11
31	CYP4B1
32	DEFB110
33	DEFB126
34	DEFB128
35	DEFB135
36	DKK4
37	DRGX
38	ECRP
39	FABP9
40	FAM187B
41	FAM99B
42	FBXO47
43	FGA
44	FLI1-AS1
45	GAGE7
46	GPR33
47	GPR50
48	GPX5
49	H2AFB1
50	H2AFB3
51	HBM
52	HIST1H4G
53	HMX3
54	HOXB9
55	HOXD11
56	HTN1
57	IFNA22P
58	IFNA4
59	KCNAB1-AS2
60	KLK1
61	KLK9
62	KRT15
63	KRT27
64	KRTAP21-2
65	KRTAP4-11
66	KRTAP4-4
67	KRTAP4-8
68	KRTAP6-3
69	KRTAP9-8
70	LALBA
71	LCE1F
72	LINC00112
73	LINC00162
74	LINC00254
75	LINC00424
76	LINC00651
77	LOC100132831
78	LOC100287534
79	LOC100287704
80	LOC285577
81	LOC286238
82	LRRC2-AS1
83	LRRC30
84	MIR105-1
85	MIR10B
86	MIR1204
87	MIR1245A
88	MIR1262
89	MIR128-2
90	MIR1292
91	MIR138-2
92	MIR146B
93	MIR150
94	MIR181C
95	MIR183
96	MIR192
97	MIR29A
98	MIR3121
99	MIR3142
100	MIR3169
101	MIR3202-1
102	MIR33B
103	MIR3609
104	MIR3649
105	MIR374B
106	MIR3941
107	MIR3976
108	MIR4284
109	MIR4296
110	MIR4300
111	MIR432
112	MIR4451
113	MIR4472-2
114	MIR4474
115	MIR4480
116	MIR449B
117	MIR450A2
118	MIR4515
119	MIR4519
120	MIR452
121	MIR4534
122	MIR4640
123	MIR4707
124	MIR4714
125	MIR4746
126	MIR5002
127	MIR5190
128	MIR5194
129	MIR519A1
130	MIR522
131	MIR548A1
132	MIR548F1
133	MIR548F4
134	MIR569
135	MIR572
136	MIR577
137	MIR586
138	MIR592
139	MIR593
140	MIR608
141	MIR643
142	MIR644B
143	MIR648
144	MIR658
145	MIR765
146	MIR943
147	MIRLET7A1
148	MMP20
149	NKX2-3
150	OPN1LW
151	OR10V1
152	OR4S1
153	OR52A1
154	OR52E4
155	OR5AU1
156	OR6C75
157	PGC
158	PITX1
159	PLA2G2E
160	PNLIP
161	PRM1
162	RBMY1D
163	RBMY1E
164	RBMY1F
165	RHOD
166	RNASE11
167	RNY5
168	SCGB2A1
169	SCT
170	SFTA2
171	SLFN12L
172	SMIM2-IT1
173	SNORD111B
174	SNORD113-5
175	SNORD37
176	SNORD49B
177	SNORD53
178	SNORD92
179	ST8SIA6-AS1
180	SULT1C3
181	SUN5
182	TFF2
183	TNFRSF18
184	TTTY13
185	TTTY5
186	TTTY8
187	TTTY8B
188	UGT1A1
189	VPREB1
190	VTRNA1-3
191	WFDC10B
192	WFDC5
193	XAGE3
194	AIF1
195	AMTN
196	ASB12
197	AVP
198	C20orf85
199	CCL21
200	CDA
201	CSN2
202	CYBA
203	DEFB112
204	DEFB118
205	DUSP21
206	ELANE
207	FAM9B
208	FCN2
209	FGF4
210	FOXI3
211	FTMT
212	GIMD1
213	GIP
214	GRP
215	GSTA5
216	HBBP1
217	HES3
218	HORMAD1
219	IFNB1
220	IGSF23
221	KRT1
222	KRTAP1-4
223	KRTAP2-2
224	KRTAP25-1
225	KRTAP29-1
226	KRTAP6-1
227	KRTAP8-1
228	LINC00207
229	LINC00626
230	LOC100132735
231	LOC100505622
232	LOC100506393
233	LOC100507205
234	LOC150185
235	LOC283403
236	LOC728012
237	LOC728040
238	LRRC3-AS1
239	MIR1206
240	MIR1243
241	MIR16-1
242	MIR19B1
243	MIR206
244	MIR208A
245	MIR22
246	MIR24-1
247	MIR3175
248	MIR3177
249	MIR320A
250	MIR335
251	MIR3614
252	MIR3675
253	MIR3689B
254	MIR411
255	MIR424
256	MIR4318
257	MIR4321
258	MIR433
259	MIR4427
260	MIR4472-1
261	MIR4526
262	MIR4747
263	MIR4762
264	MIR4770
265	MIR4774
266	MIR4789
267	MIR4796
268	MIR5091
269	MIR548H3
270	MIR642A
271	MIR650
272	MIR675
273	MIR711
274	MIR891B
275	NCR3
276	NDFIP2-AS1
277	NEUROG3
278	NKX2-4
279	NPBWR1
280	OR10A6
281	OR13H1
282	OR1A2
283	OR5P3
284	OR6C70
285	OR6N2
286	OR8J3
