id	gene
1	AA06
2	AADAC
3	ACSM2B
4	ACTBL2
5	ACTL9
6	ACTN1-AS1
7	ACTRT2
8	AFP
9	AGXT2
10	ALPPL2
11	AMELX
12	AMN
13	AMTN
14	AMY1C
15	APOA5
16	APOBEC1
17	APOC4-APOC2
18	ARL14
19	ASCL4
20	ASGR2
21	ATP6V0CP3
22	AWAT1
23	B4GALNT2
24	BANF2
25	BARX1
26	BATF
27	BDKRB1
28	BHLHA9
29	BMP15
30	BOD1L2
31	BPESC1
32	BPIFA2
33	BPIFA3
34	BPIFA4P
35	BPY2
36	BPY2B
37	BPY2C
38	BSND
39	BSPH1
40	BTLA
41	BTNL3
42	C10orf120
43	C10orf91
44	C11orf21
45	C16orf78
46	C17orf82
47	C19orf33
48	C19orf59
49	C1orf127
50	C1orf200
51	C1orf64
52	C1orf68
53	C20orf85
54	C2CD4B
55	C2orf53
56	C5orf58
57	C6orf222
58	C7orf34
59	C8orf87
60	C9orf53
61	C9orf92
62	CABP2
63	CAMP
64	CAPN11
65	CARD17
66	CARTPT
67	CASP12
68	CBLC
69	CCDC155
70	CCDC54
71	CCL15
72	CCL18
73	CCL19
74	CCL20
75	CCL21
76	CCL8
77	CD177
78	CD200R1L
79	CD300C
80	CD300LF
81	CDA
82	CDRT15P2
83	CDRT7
84	CDX1
85	CEBPE
86	CELA3B
87	CETN1
88	CGB8
89	CIDEA
90	CLC
91	CLDN14
92	CLEC4F
93	CLEC4M
94	CLEC6A
95	CLEC9A
96	CLRN1-AS1
97	CMA1
98	CNR2
99	COL18A1-AS2
100	COLEC10
101	CPA6
102	CPSF4L
103	CREB3L3
104	CRLF2
105	CRYGB
106	CSAG1
107	CSAG4
108	CSH1
109	CSH2
110	CSHL1
111	CSN1S2BP
112	CSN2
113	CST5
114	CTLA4
115	CXCR3
116	CXXC1P1
117	CYP4B1
118	CYP4F8
119	DCAF8L1
120	DCD
121	DEFA1
122	DEFA1B
123	DEFA4
124	DEFB104A
125	DEFB104B
126	DEFB107A
127	DEFB107B
128	DEFB110
129	DEFB118
130	DEFB121
131	DEFB125
132	DEFB128
133	DEFB129
134	DEFB135
135	DEFB4A
136	DHRS7C
137	DIAPH3-AS1
138	DLX2
139	DLX5
140	DNAJB8
141	DNAJB8-AS1
142	DNMT3L
143	DRGX
144	DSCR4
145	DUSP21
146	DUX4L2
147	DUX4L3
148	DUX4L5
149	DUX4L6
150	EDDM3B
151	ELANE
152	EMCN-IT3
153	EMR3
154	EXOC3L4
155	FABP9
156	FAM153A
157	FAM153B
158	FAM170B
159	FAM187B
160	FAM197Y2
161	FAM197Y5
162	FAM26D
163	FAM3D
164	FAM41AY1
165	FAM41AY2
166	FAM47B
167	FAM83F
168	FAM99B
169	FAM9B
170	FATE1
171	FCN2
172	FDCSP
173	FEZF1
174	FEZF1-AS1
175	FGA
176	FGF22
177	FGF4
178	FGF6
179	FLI1-AS1
