gene	deg_total	is_driver	is_crit_source	is_highdeg	category
ASCL4	3	1	1	0	critical_source_TF
BARX1	3	1	0	0	driver_TF
BATF	2	1	1	0	critical_source_TF
BHLHA9	2	1	1	0	critical_source_TF
CDX1	17	1	0	1	highdeg_TF
CEBPE	1	1	1	0	critical_source_TF
CREB3L3	2	1	1	0	critical_source_TF
DLX2	2	1	1	0	critical_source_TF
DLX5	2	1	1	0	critical_source_TF
DRGX	1	1	1	0	critical_source_TF
FEZF1	9	0	1	1	highdeg_TF
FOXI3	8	0	0	1	highdeg_TF
FOXN1	2	1	0	0	driver_TF
HAND1	1	1	1	0	critical_source_TF
HAND2	1	1	1	0	critical_source_TF
HES3	3	1	1	0	critical_source_TF
HHEX	6	0	1	0	critical_source_TF
HNF1B	6	1	1	0	critical_source_TF
HNF4A	15	0	0	1	highdeg_TF
HOXB13	1	1	1	0	critical_source_TF
HOXB7	1	0	0	0	TF_only
HOXB8	2	0	1	0	critical_source_TF
HOXC13	2	1	1	0	critical_source_TF
HOXC6	2	0	1	0	critical_source_TF
LMX1A	1	1	1	0	critical_source_TF
MYF6	9	0	0	1	highdeg_TF
NEUROG2	1	0	0	0	TF_only
NKX2-1	6	0	0	0	TF_only
NKX2-6	1	1	1	0	critical_source_TF
NKX3-2	1	0	0	0	TF_only
OLIG3	2	0	1	0	critical_source_TF
OTP	2	1	1	0	critical_source_TF
PAX2	9	0	1	1	highdeg_TF
PDX1	2	1	0	0	driver_TF
PHOX2A	1	1	1	0	critical_source_TF
PITX1	1	0	0	0	TF_only
PITX2	2	0	0	0	TF_only
POU1F1	3	0	1	0	critical_source_TF
POU4F3	2	0	1	0	critical_source_TF
PRDM13	1	0	0	0	TF_only
PRDM9	1	0	0	0	TF_only
SIX3	1	1	1	0	critical_source_TF
SP8	3	0	0	0	TF_only
TLX3	1	0	0	0	TF_only
TPRX1	1	1	1	0	critical_source_TF
TWIST2	1	0	0	0	TF_only
