module	n_genes	n_TF	n_cellcycle	n_PDGFRA	n_driver
18	26				8
3	22				2
36	15				3
48	15				3
4	14				2
1	13				2
34	12				6
30	12				5
95	11				7
127	10				6
25	10				2
59	10				2
78	9				3
2	8				4
88	8				2
66	8				6
142	8				5
67	8				3
43	8				3
110	7				2
47	7				2
165	7				4
65	7				1
40	6				2
51	6				1
163	6				4
55	6				2
201	6				4
139	6				5
97	6				2
77	6				2
162	6				1
123	5				2
46	5				1
17	5				1
31	5				2
159	5				3
104	5				2
94	5				2
206	5				2
10	5				2
24	5				1
16	5				1
126	5				3
146	5				4
45	5				3
74	5				2
64	4				1
86	4				1
41	4				1
63	4				1
37	4				1
69	4				1
60	4				1
20	4				1
117	4				3
212	4				2
56	4				1
6	4				1
57	4				1
129	4				2
33	4				1
119	4				1
14	4				1
194	4				3
122	4				2
15	4				1
151	4				2
143	4				3
70	4				1
89	4				2
133	4				2
124	4				1
44	4				1
160	3				1
102	3				1
209	3				2
136	3				1
72	3				1
50	3				1
217	3				2
202	3				1
148	3				1
115	3				1
135	3				1
141	3				1
213	3				2
200	3				1
147	3				1
101	3				1
137	3				2
211	3				2
9	3				1
113	3				1
85	3				1
185	3				1
53	3				1
145	3				1
118	3				1
5	3				1
13	3				1
32	3				1
7	3				1
164	3				2
27	3				1
107	3				1
120	3				1
12	3				1
253	3				2
61	3				1
125	3				1
132	3				1
38	3				1
219	3				1
210	3				1
100	3				1
98	3				1
134	3				2
26	3				1
21	3				1
231	3				2
39	3				1
84	3				1
82	3				1
87	3				1
179	3				1
116	3				1
49	3				1
149	3				1
256	2				1
195	2				1
62	2				1
182	2				1
218	2				1
161	2				1
198	2				1
229	2				1
157	2				1
196	2				1
240	2				1
99	2				1
214	2				1
176	2				1
158	2				1
226	2				1
244	2				1
103	2				1
52	2				1
228	2				1
221	2				1
183	2				1
131	2				1
252	2				1
91	2				1
79	2				1
54	2				1
168	2				1
247	2				1
233	2				1
153	2				1
140	2				1
152	2				1
172	2				1
181	2				1
8	2				1
197	2				1
73	2				1
251	2				1
58	2				1
174	2				1
109	2				1
154	2				1
11	2				1
155	2				1
254	2				1
186	2				1
111	2				1
23	2				1
93	2				1
235	2				1
224	2				1
204	2				1
138	2				1
205	2				1
248	2				1
128	2				1
106	2				1
170	2				1
92	2				1
192	2				1
188	2				1
222	2				1
19	2				1
245	2				1
255	2				1
121	2				1
156	2				1
171	2				1
250	2				1
71	2				1
169	2				1
35	2				1
207	2				1
22	2				1
208	2				1
108	2				1
114	2				1
242	2				1
227	2				1
68	2				1
223	2				1
258	2				1
178	2				1
80	2				1
246	2				1
216	2				1
175	2				1
220	2				1
199	2				1
166	2				1
167	2				1
193	2				1
75	2				1
238	2				1
83	2				1
90	2				1
173	2				1
189	2				1
150	2				1
28	2				1
29	2				1
76	2				1
249	2				1
180	2				1
130	2				1
81	2				1
184	2				1
191	2				1
42	2				1
190	2				1
187	2				1
239	2				1
232	2				1
105	2				1
203	2				1
241	2				1
177	2				1
234	2				1
112	2				1
243	2				1
257	2				1
237	2				1
225	2				1
144	2				1
96	2				1
236	2				1
215	2				1
230	2				1
